species,lat,lon,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Gymnosporia_senegalensis,22.5616,73.222,27.150000000000034,11.5,0.4579999923706055,381.70000000000005,39.450000000000045,14.350000000000023,25.1,28.350000000000023,27.150000000000034,32.05000000000001,21.750000000000057,1021.3000000000001,386.1,0.5,149.70000000000002,863.4000000000001,3.9000000000000004,116.60000000000001,5.300000000000001
Gymnosporia_senegalensis,22.6236,70.9616,26.750000000000057,12.0,0.45399999618530273,402.5,39.35000000000002,12.950000000000045,26.400000000000002,29.650000000000034,20.650000000000034,31.250000000000057,20.650000000000034,653.3000000000001,260.8,0.4,146.70000000000002,523.4,1.9000000000000001,125.2,1.9000000000000001
Gymnosporia_senegalensis,22.6392,78.153,25.850000000000023,11.3,0.4,470.5,40.150000000000034,12.050000000000011,28.1,26.650000000000034,26.450000000000045,32.25000000000006,19.650000000000034,1361.2,452.5,2.1,140.3,1104.8,21.6,164.8,30.200000000000003
Gymnosporia_senegalensis,23.0225,72.5714,27.05000000000001,11.8,0.4480000019073487,425.8,39.950000000000045,13.550000000000011,26.400000000000002,28.850000000000023,23.05000000000001,32.25000000000006,20.950000000000045,877.2,358.0,0.7000000000000001,157.0,747.8000000000001,2.6,100.10000000000001,3.0
Gymnosporia_senegalensis,23.3274,69.8647,27.05000000000001,11.9,0.4590000152587891,402.1,38.650000000000034,12.750000000000057,25.900000000000002,28.850000000000023,20.850000000000023,31.150000000000034,20.850000000000023,463.8,188.3,0.2,149.3,380.0,2.0,47.6,2.0
Gymnosporia_senegalensis,23.4828,69.2612,26.850000000000023,11.4,0.46700000762939453,385.70000000000005,37.35000000000002,12.950000000000045,24.400000000000002,28.850000000000023,26.350000000000023,30.650000000000034,20.850000000000023,348.5,137.70000000000002,0.30000000000000004,144.0,276.5,3.2,34.7,3.2
Gymnosporia_senegalensis,23.5814,72.3392,26.750000000000057,11.9,0.44099998474121094,457.70000000000005,39.75000000000006,12.750000000000057,27.0,28.850000000000023,26.150000000000034,32.150000000000034,20.150000000000034,775.2,305.0,1.0,153.9,660.4000000000001,3.9000000000000004,83.80000000000001,4.0
Gymnosporia_senegalensis,23.743,72.4625,26.55000000000001,12.0,0.4429999828338623,455.1,39.450000000000045,12.450000000000045,27.0,28.450000000000045,25.950000000000045,31.950000000000045,19.950000000000045,775.5,310.1,0.9,155.60000000000002,664.6,4.3,78.30000000000001,4.800000000000001
Gymnosporia_senegalensis,23.8375,73.0726,26.05000000000001,11.5,0.4429999828338623,433.5,38.650000000000034,12.650000000000034,26.0,27.650000000000034,25.650000000000034,31.450000000000045,19.850000000000023,876.8000000000001,354.3,0.6000000000000001,158.70000000000002,774.4000000000001,3.4000000000000004,71.0,4.9
Gymnosporia_senegalensis,23.9663,72.7541,25.250000000000057,11.8,0.4429999828338623,446.8,38.150000000000034,11.450000000000045,26.700000000000003,27.05000000000001,24.650000000000034,30.650000000000034,18.850000000000023,847.0,348.40000000000003,0.8,160.5,742.2,4.4,70.60000000000001,5.800000000000001
Gymnosporia_senegalensis,24.0149,85.4109,22.950000000000045,10.100000000000001,0.3799999952316284,489.20000000000005,35.650000000000034,9.050000000000011,26.6,25.750000000000057,16.150000000000034,28.450000000000045,15.950000000000045,1409.7,369.1,10.700000000000001,111.30000000000001,948.8000000000001,42.5,304.40000000000003,50.6
Gymnosporia_senegalensis,24.1672,86.2872,24.55000000000001,10.3,0.3880000114440918,490.8,36.75000000000006,10.150000000000034,26.6,27.450000000000045,17.750000000000057,29.750000000000057,17.250000000000057,1442.4,368.40000000000003,9.200000000000001,107.80000000000001,962.5,43.5,307.8,45.0
Gymnosporia_senegalensis,24.5485,73.9108,25.05000000000001,12.0,0.4150000095367432,501.40000000000003,39.05000000000007,10.150000000000034,28.900000000000002,26.750000000000057,17.950000000000045,31.450000000000045,17.950000000000045,669.2,231.9,1.6,142.3,544.1,6.5,93.10000000000001,6.5
Gymnosporia_senegalensis,24.6791,76.5653,26.250000000000057,11.8,0.3880000114440918,558.1,41.25000000000006,10.750000000000057,30.5,28.150000000000034,25.950000000000045,33.450000000000045,18.55000000000001,1061.3,383.70000000000005,2.9000000000000004,150.0,883.9000000000001,14.3,107.4,19.1
Gymnosporia_senegalensis,24.6943,80.2288,24.350000000000023,11.200000000000001,0.37300000190734867,558.7,39.05000000000007,9.150000000000034,29.900000000000002,26.850000000000023,28.750000000000057,31.250000000000057,16.650000000000034,1387.9,416.40000000000003,7.1000000000000005,133.4,1111.8,30.700000000000003,158.20000000000002,54.6
Gymnosporia_senegalensis,24.7894,75.3747,25.55000000000001,11.200000000000001,0.38599998950958253,527.0,39.75000000000006,10.750000000000057,29.0,27.450000000000045,20.650000000000034,32.25000000000006,18.250000000000057,893.1,317.8,2.8000000000000003,149.8,751.3000000000001,13.700000000000001,95.10000000000001,13.9
Gymnosporia_senegalensis,24.8967,75.8678,25.55000000000001,11.5,0.3829999923706055,550.4,40.150000000000034,10.050000000000011,30.1,27.55000000000001,25.150000000000034,32.55000000000001,17.850000000000023,1003.6,360.0,4.1000000000000005,149.20000000000002,839.8000000000001,17.3,104.60000000000001,17.7
Gymnosporia_senegalensis,25.0009,73.0631,25.350000000000023,12.200000000000001,0.4239999771118164,503.40000000000003,38.35000000000002,9.650000000000034,28.700000000000003,27.750000000000057,20.55000000000001,31.350000000000023,18.150000000000034,540.7,212.10000000000002,1.3,151.1,448.5,6.4,65.60000000000001,6.6000000000000005
Gymnosporia_senegalensis,25.2424,77.3739,24.950000000000045,11.4,0.3789999961853028,571.0,39.450000000000045,9.350000000000023,30.1,27.55000000000001,29.150000000000034,31.850000000000023,16.950000000000045,951.8000000000001,329.6,3.9000000000000004,141.5,767.1,20.6,107.0,28.6
Gymnosporia_senegalensis,25.2455,77.3814,24.850000000000023,11.5,0.3819999933242798,570.0,39.35000000000002,9.350000000000023,30.0,27.450000000000045,29.05000000000001,31.750000000000057,16.850000000000023,958.3000000000001,331.6,3.9000000000000004,141.3,772.1,20.8,107.60000000000001,29.0
Gymnosporia_senegalensis,25.2842,73.6809,22.850000000000023,11.5,0.40799999237060547,497.1,35.950000000000045,7.850000000000023,28.1,24.950000000000045,15.750000000000057,28.850000000000023,15.750000000000057,801.1,279.1,2.6,141.1,636.9000000000001,10.8,130.70000000000002,10.8
Gymnosporia_senegalensis,25.4102,78.6369,25.950000000000045,11.600000000000001,0.36700000762939455,611.7,41.25000000000006,9.650000000000034,31.6,28.850000000000023,30.350000000000023,33.25000000000006,17.350000000000023,920.7,281.7,5.2,133.3,734.2,26.1,101.4,35.9
Gymnosporia_senegalensis,25.4726,80.3159,26.05000000000001,11.8,0.3710000038146973,622.9000000000001,41.25000000000006,9.350000000000023,31.900000000000002,29.450000000000045,30.250000000000057,33.25000000000006,17.150000000000034,929.1,289.7,4.2,131.70000000000002,744.0,25.1,97.0,39.900000000000006
Gymnosporia_senegalensis,26.0913,76.4872,25.650000000000034,12.3,0.3809999942779541,629.9000000000001,40.75000000000006,8.350000000000023,32.4,28.950000000000045,24.350000000000023,32.85000000000002,16.650000000000034,712.4000000000001,240.70000000000002,5.9,142.1,579.4,20.8,69.8,23.0
Gymnosporia_senegalensis,26.1001,78.3065,24.950000000000045,11.700000000000001,0.3700000047683716,627.5,40.05000000000007,8.450000000000045,31.6,28.450000000000045,23.950000000000045,32.25000000000006,16.150000000000034,954.0,292.0,6.0,132.20000000000002,763.4000000000001,25.5,108.4,32.2
Gymnosporia_senegalensis,26.1155,80.5188,25.450000000000045,11.3,0.3700000047683716,615.6,39.85000000000002,9.250000000000057,30.6,29.250000000000057,29.250000000000057,32.35000000000002,16.650000000000034,878.4000000000001,258.8,3.7,127.5,688.9000000000001,25.700000000000003,94.10000000000001,42.1
Gymnosporia_senegalensis,26.3292,73.0244,26.350000000000023,12.5,0.41100001335144043,582.2,39.85000000000002,9.350000000000023,30.5,29.650000000000034,17.850000000000023,32.75000000000006,17.850000000000023,388.5,135.4,1.7000000000000002,139.20000000000002,303.40000000000003,11.4,60.400000000000006,11.4
Gymnosporia_senegalensis,26.798,75.3499,25.150000000000034,12.700000000000001,0.3930000066757202,637.5,39.75000000000006,7.550000000000011,32.2,29.05000000000001,16.850000000000023,32.25000000000006,15.950000000000045,585.1,208.8,3.5,141.1,465.8,20.0,270.5,21.200000000000003
Gymnosporia_senegalensis,26.8619,75.8171,24.950000000000045,12.200000000000001,0.38599998950958253,623.3000000000001,39.55000000000007,7.9500000000000455,31.6,28.650000000000034,16.850000000000023,31.950000000000045,16.05000000000001,652.8000000000001,228.60000000000002,4.0,142.70000000000002,526.7,20.3,290.3,22.8
Gymnosporia_senegalensis,26.867,75.8162,24.850000000000023,12.200000000000001,0.3869999885559082,623.8000000000001,39.450000000000045,7.9500000000000455,31.5,28.55000000000001,16.750000000000057,31.850000000000023,15.950000000000045,647.3000000000001,226.5,4.0,142.4,521.6,20.3,288.1,22.8
Gymnosporia_senegalensis,26.8678,75.8129,24.850000000000023,12.200000000000001,0.3869999885559082,623.8000000000001,39.450000000000045,7.9500000000000455,31.5,28.55000000000001,16.750000000000057,31.850000000000023,15.950000000000045,647.3000000000001,226.5,4.0,142.4,521.6,20.3,288.1,22.8
Gymnosporia_senegalensis,26.8715,75.8105,24.850000000000023,12.200000000000001,0.3869999885559082,623.8000000000001,39.450000000000045,7.9500000000000455,31.5,28.55000000000001,16.750000000000057,31.850000000000023,15.950000000000045,647.3000000000001,226.5,4.0,142.4,521.6,20.3,288.1,22.8
